,Date,State,Location,Food,Ingredient,Species,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
0,1998-01,California,Restaurant,,,,,,20,0.0,0.0
1,1998-01,California,,Custard,,,,,112,0.0,0.0
2,1998-01,California,Restaurant,,,,,,35,0.0,0.0
3,1998-01,California,Restaurant,"Fish, Ahi",,Scombroid toxin,,Confirmed,4,0.0,0.0
4,1998-01,California,Private Home/Residence,"Lasagna, Unspecified; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,26,3.0,0.0
5,1998-01,California,Restaurant,,,Shigella boydii,,Confirmed,25,3.0,0.0
6,1998-01,California,Restaurant,,,,,,8,0.0,0.0
7,1998-01,California,Restaurant,"Stuffing, Unspecified; Sandwich, Turkey",,Salmonella enterica,Enteritidis,Confirmed,4,3.0,0.0
8,1998-01,Colorado,Restaurant,"Salad, Unspecified",,Virus,,Suspected,21,,
9,1998-01,Colorado,Restaurant,"Peppers, Chili",,Virus,,Suspected,3,,0.0
10,1998-01,Colorado,Grocery Store,,,Virus,,Suspected,8,,
11,1998-01,Colorado,Restaurant,,,Virus,,Suspected,28,,0.0
12,1998-01,Colorado,Private Home/Residence,,,Virus,,Suspected,10,,
13,1998-01,Florida,Restaurant,Chicken Salad,,,,,2,,
14,1998-01,Florida,Restaurant,"Hot Dog, Kielbasa",,,,,3,0.0,0.0
15,1998-01,Florida,Restaurant,"Ethnic Style, Unspecified",,Clostridium perfringens,,Suspected,3,0.0,0.0
16,1998-01,Florida,Restaurant,Greek Salad,,Norovirus genogroup I,,Suspected,2,,
17,1998-01,Florida,Restaurant,"Ground Beef, Cheeseburger",,Staphylococcus aureus,,Suspected,2,0.0,0.0
18,1998-01,Florida,Restaurant,"Pasta, Unspecified",,Bacillus cereus,,Suspected,2,0.0,0.0
19,1998-01,Florida,Restaurant,"Sauces, Unspecified; Tuna, Unspecified",,Scombroid toxin,,Suspected,2,2.0,0.0
20,1998-01,Florida,Restaurant,"Sandwich, Chicken",,Campylobacter unknown,,Confirmed,3,1.0,0.0
21,1998-01,Florida,Restaurant,"Chicken, Unspecified",,,,,3,0.0,0.0
22,1998-01,Florida,Restaurant,"Chicken, Fried",,Bacillus cereus,,Suspected,5,0.0,0.0
23,1998-01,Florida,Restaurant,"Doughnuts, Unspecified",,,,,3,0.0,0.0
24,1998-01,Florida,Restaurant,"Tomato Sauce, Unspecified",,,,,5,0.0,0.0
25,1998-01,Florida,Restaurant,"Steak, Unspecified",,,,,2,0.0,0.0
26,1998-01,Florida,Restaurant,Unknown Food,,,,,2,0.0,0.0
27,1998-01,Florida,Restaurant,"Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified",,,,,2,1.0,0.0
28,1998-01,Florida,Private Home/Residence,"Turkey, Unspecified",,,,,18,5.0,0.0
29,1998-01,Florida,Restaurant,"Steak, Unspecified",,,,,2,0.0,0.0
30,1998-01,Florida,Grocery Store,"Pork, Unspecified",,,,,2,0.0,0.0
31,1998-01,Florida,Restaurant,"Salmon, Raw; Tuna, Raw",,Campylobacter unknown,,Suspected,3,,
32,1998-01,Guam,Private Home/Residence,"Other Milk, Unspecified",,,,,2,,
33,1998-01,Guam,Restaurant,"Chicken, Unspecified",,Vibrio parahaemolyticus,,Confirmed,47,0.0,0.0
34,1998-01,Hawaii,Private Home/Residence,"Fish, Grouper, Unspecified",,Ciguatoxin,,Confirmed,3,0.0,0.0
35,1998-01,Hawaii,Private Home/Residence,"Fish, Mahi Mahi",,Scombroid toxin,,Confirmed,2,0.0,0.0
36,1998-01,Hawaii,Restaurant,"Fish, Ahi",,Scombroid toxin,,Confirmed,2,0.0,0.0
37,1998-01,Illinois,Restaurant,,,,,,4,0.0,0.0
38,1998-01,Illinois,,,,,,,11,0.0,0.0
39,1998-01,Illinois,Restaurant,,,,,,4,1.0,
40,1998-01,Indiana,Restaurant,,,Shigella flexneri,Serotype 6,Confirmed,25,3.0,0.0
41,1998-01,Maryland,Private Home/Residence,"Ground Beef, Unspecified",,,,,3,,0.0
42,1998-01,Maryland,Restaurant,Chicken Salad,,Clostridium perfringens,,Suspected,3,0.0,0.0
43,1998-01,Maryland,Restaurant,"Burrito, Chicken",,Salmonella enterica,Enteritidis,Confirmed,4,0.0,0.0
44,1998-01,Maryland,Restaurant,,,Hepatitis A,,Confirmed,21,,
45,1998-01,Maryland,Restaurant,,,Bacillus cereus,,Suspected,3,0.0,0.0
46,1998-01,Maryland,Restaurant,,,,,,2,,0.0
47,1998-01,Maryland,Restaurant,,,,,,2,0.0,0.0
48,1998-01,Maryland,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Pork, Unspecified",,,,,3,,0.0
49,1998-01,Maryland,Restaurant,"Cake, Tiramisu; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,8,0.0,0.0
50,1998-01,Maryland,Private Home/Residence,Chicken Salad,,Salmonella enterica,Typhimurium,Confirmed,5,1.0,0.0
51,1998-01,Maryland,Restaurant,Chicken Fried Rice,,Clostridium perfringens,,Suspected,4,0.0,0.0
52,1998-01,Maryland,Restaurant,,,,,,4,0.0,0.0
53,1998-01,Massachusetts,Restaurant,"Dips, Unspecified",,Shigella sonnei,,Confirmed,79,6.0,0.0
54,1998-01,Massachusetts,,,,,,,115,0.0,0.0
55,1998-01,Michigan,,"Chicken, Unspecified; Cake, Cheese",,,,,2,,
56,1998-01,Michigan,,"Macaroni And Cheese; Chicken, Unspecified",,,,,6,,
57,1998-01,Michigan,,Multiple Foods,,,,,5,,
58,1998-01,Michigan,Restaurant,"Eggs, Unspecified; Pork, Bacon; Potato, Unspecified",,,,,2,,
59,1998-01,Michigan,,,,,,,133,,
60,1998-01,Michigan,Restaurant,,,,,,47,,
61,1998-01,Michigan,Restaurant,"Ground Beef, Cheeseburger",,,,,4,,0.0
62,1998-01,Michigan,Restaurant,"Rice, Unspecified; Lettuce, Unspecified",,,,,5,0.0,0.0
63,1998-01,Michigan,,"Sandwich, Roast Beef",,,,,2,0.0,0.0
64,1998-01,Michigan,Restaurant,"Soup Unspecified; Stew/Chili, Unspecified; Steak, Unspecified",,,,,3,3.0,0.0
65,1998-01,Michigan,Restaurant,"Pizza, Unspecified",,,,,19,,
66,1998-01,Michigan,Restaurant,"Eggs, Unspecified",,,,,3,,
67,1998-01,Minnesota,,,,Shigella sonnei,,Confirmed,19,0.0,0.0
68,1998-01,Minnesota,Restaurant,Blue Cheese Dressing,,,,,16,0.0,0.0
